Datum;Auftrag #;Transaktionen;Symbol;Name;ISIN;Anzahl;Stückpreis;Kosten;Aufgelaufene Zinsen;Nettobetrag;Währung Nettobetrag;Nettobetrag in der Währung des Kontos;Saldo;Währung
11-06-2010 18:22:39;00000000;Dividende;MSFT;MICROSOFT ORD;US5949181045;1.0;19.10;0.00;0.00;19.10;USD;19.10;19.10;USD
10-05-2010 12:28:32;00000000;Dividende;CSGN;CS GROUP N;CH0012138530;1.0;130.00;0.00;0.00;130.00;CHF;130.00;564.00;CHF
30-04-2010 13:44:05;00000000;Dividende;FORN;FORBO N;CH0003541510;1.0;117.00;0.00;0.00;117.00;CHF;117.00;434.00;CHF
19-04-2010 14:02:11;22670721;Fx-Gutschrift Comp.;;;;1.0;186.33;0.00;0.00;186.33;USD;186.33;0.00;USD
19-04-2010 14:02:11;22670721;Fx-Belastung Comp.;;;;1.0;200.25;0.00;0.00;-200.25;CHF;-200.25;317.00;CHF
16-04-2010 15:30:04;22637493;Kauf;MSFT;MICROSOFT ORD;US5949181045;210.0;30.75;45.54;0.00;-6'503.04;USD;-6'503.04;-186.33;USD
15-04-2010 16:08:53;22609118;Berichtigung Börsengeb.;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;1.0;-0.02;0.00;0.00;-0.02;USD;-0.02;6'316.71;USD
15-04-2010 16:08:48;22609118;Verkauf;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;100.0;10.00;1.52;0.00;998.48;USD;998.48;6'316.73;USD
15-04-2010 16:08:48;22609118;Verkauf;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;500.0;10.00;43.41;0.00;4'956.59;USD;4'956.59;5'318.25;USD
12-04-2010 16:20:29;00000000;Dividende;LONN;LONZA N;CH0013841017;1.0;68.25;0.00;0.00;68.25;CHF;68.25;517.25;CHF
31-03-2010 17:57:24;00000000;Depotgebühren;;;;1.0;23.34;0.00;0.00;-23.34;CHF;-23.34;449.00;CHF
16-03-2010 14:01:30;22272376;Fx-Gutschrift Comp.;;;;1.0;4'381.97;0.00;0.00;4'381.97;EUR;4'381.97;0.00;EUR
16-03-2010 14:01:30;22272376;Fx-Belastung Comp.;;;;1.0;6'048.48;0.00;0.00;-6'048.48;USD;-6'048.48;361.66;USD
15-03-2010 16:15:00;22262051;Berichtigung Börsengeb.;Y9V3;VITRUVIUS SWISS EQUITY B EUR O;LU0129839998;1.0;-0.15;0.00;0.00;-0.15;EUR;-0.15;-4'381.97;EUR
15-03-2010 16:14:58;22262051;Kauf;Y9V3;VITRUVIUS SWISS EQUITY B EUR O;LU0129839998;50.0;86.72;45.82;0.00;-4'381.82;EUR;-4'381.82;-4'381.82;EUR
15-03-2010 11:44:30;22257902;Verkauf;IH2O;iSh Glob Water USD Dis;IE00B1TXK627;300.0;21.44;21.86;0.00;6'410.14;USD;6'410.14;6'410.14;USD
03-03-2010 14:01:13;22139116;Fx-Gutschrift Comp.;;;;1.0;2'262.64;0.00;0.00;2'262.64;EUR;2'262.64;0.00;EUR
03-03-2010 14:01:13;22139116;Fx-Belastung Comp.;;;;1.0;3'327.10;0.00;0.00;-3'327.10;CHF;-3'327.10;472.34;CHF
02-03-2010 16:54:18;22128407;Kauf;INR;LYXOR MSCI INDIA ETF;FR0010361683;109.0;11.07;27.66;0.00;-1'234.29;EUR;-1'234.29;-2'262.64;EUR
02-03-2010 10:06:25;22119629;Kauf;INR;LYXOR MSCI INDIA ETF;FR0010361683;91.0;11.00;27.35;0.00;-1'028.35;EUR;-1'028.35;-1'028.35;EUR
26-02-2010 16:24:27;22093124;Verkauf;MIKN;MIKRON N;CH0003390066;151.0;6.50;0.75;0.00;980.75;CHF;980.75;3'799.44;CHF
26-02-2010 15:45:12;22093124;Verkauf;MIKN;MIKRON N;CH0003390066;349.0;6.50;38.55;0.00;2'229.95;CHF;2'229.95;2'818.69;CHF
16-02-2010 14:02:36;21973404;Fx-Gutschrift Comp.;;;;1.0;3'845.73;0.00;0.00;3'845.73;USD;3'845.73;0.00;USD
16-02-2010 14:02:36;21973404;Fx-Belastung Comp.;;;;1.0;4'165.25;0.00;0.00;-4'165.25;CHF;-4'165.25;588.74;CHF
16-02-2010 14:02:36;21973403;Fx-Gutschrift Comp.;;;;1.0;1'724.67;0.00;0.00;1'724.67;USD;1'724.67;-3'845.73;USD
